
Don't Make Me Think: A Common Sense Approach to Web Usability,Second Edition,,Steve Krug,1,true 
Rails Test Prescriptions: Keeping Your Application Healthy,,,Noel Rappin,1,true 
New Rider' Official Internet Yellow Pages,1995 Edition,,New Riders Publishing,1,true 
How to Create a Mind: The Secret of Human Thought Revealed,,,Ray Kurzweil,1,true 
A Short Story of Nearly Everything,,,Bill Bryson,1,true 
Starting Strength: Basic Barbell Training,Second Edition,,"Mark Rippetoe, Lon Kilgore",1,true 
The Smashing Book #2,,,Smashing Magazine Team,1,true 
"The New Digital Age: Reshaping the Future of People, Nations and Business",,,"Eric Schmidt, Jared Cohen",1,true 
The Children's Machine: Rethinking School in the Age of the Computer,,,Seymour Papert,1,true 
Patterns of Enterprise Application Architecture,,,Martin Fowler,1,true 
jQuery in Action,Second Edition,,"Bear Bibeault, Yehuda Katz",1,true 
Everything About Guitar Scales,,,Wilbur M. Savidge,1,true 
Secrets of the JavaScript Ninja,,,"John Resig, Bear Bibeault",1,true 
"Jab, Jab, Jab Right Hook: How to Tell Your Story in a Noisy Social World",,,Gary Vaynerchuk,1,true 
Close to the Machine: Technophilia and Its Discontents,,,Ellen Ullman,1,true 
MongoDB: The Definitive Guide,,,"Kristina Chodorow, Michael Dirolf",1,true 
IOS Programming: The Big Nerd Ranch Guide,3rd Edition,,"Joe Conway, Aaron Hillegass",1,true 
"Growing Object-Oriented Software, Guided by Tests",,,"Steve Freeman, Nat Pryce",1,true 
Domain-Driven Design: Tackling Complexity in the Heart of Software,,,Eric Evans,1,true 
The Smashing Book,,,Smashing Magazine Team,1,true 
"Deploying Rails: Automate, Deploy, Scale, Maintain, and Sleep at Night",,The Facets of Ruby Series,Anthony Burns and Tom Copeland,1,true 
Rails Recipes,Rails 3 Edition,The Facets of Ruby Series,Chad Fowler,1,true 
The Rails View: Create a Beautiful and Maintainable User Experience,,The Facets of Ruby Series,"John Athayde, Bruce Williams",1,true 
One From Many: VISA and the Rise of Chaordic Organization,,,Dee Hock,1,true 
Learning Unix for OSX Mountain Lion,,,Dave Taylor,1,true 
Design <for> Hackers,,,David Kadavy,1,true 
Beginning Database Design: From Novice to Professional,,,Clare Churcher,1,true 
The Rolling Stones 1972,,,Jim Marshall,1,true 
Word Smart,5th Edition,,,1,true 
Tesla: Man Out of Time,,,Margaret Cheney,1,true 
Influence: The Psychology of Persuasion,Revised Edition,,"Robert B. Cialdini, PH.D.",1,true 
Ender's Game,,,Orson Scott Card,1,true 
SQL Pocket Guide,3rd Edition,,Jonathan Gennick,1,true 
Learning SQL Fundamentals,2nd Edition,,Alan Beaulieu,1,true 
SQL In a Nutshell: A Desktop Quick Reference,3rd Edition,,"Kevin E. Kline, Daniel Kline, Brand Hunt",1,true 
Learning IOS Programming,3rd Edition,,Alasdair Allan,1,true 
There Are No Shortcuts,,,Rafe Esquith,1,true 
Smarter Than You Think: Technology is Changing Our Minds for the Better,,,Clive Thompson,1,true 
Teach Like Your Hair's On Fire: Methods and Madness Inside Room 56,,,Rafe Esquith,1,true 
